feature_0,feature_1,feature_2,feature_3,feature_4,anomaly
0.9776172682410331,0.7222601706623073,0.5609310680218993,0.1990865675364819,0.447320739256009,1.0
0.8471568119835491,0.7308209775148928,0.5379625922930076,0.8773162210968376,0.3021072138475479,1.0
0.7260362574516015,0.056852276443421945,0.6401996220213811,0.08643575965577033,0.3696835352597867,1.0
0.531796511326358,0.7526592116226446,0.513616063037365,0.6394359390495234,0.012420042067046166,1.0
0.6042346838331644,0.6386851266589585,0.13898905555512364,0.8041900374678504,0.6943820929245342,1.0
0.12917705369518928,0.6586762034966548,0.8214048384168255,0.014804604810702227,0.2798492698761432,1.0
0.733922506194204,0.5197114176602271,0.14176662708351373,0.24332428121544247,0.4120030029635945,1.0
0.5861733875216065,0.6089062678075465,0.6843456331719714,0.4005309793043159,0.17053082775701733,1.0
0.9134421275966236,0.5604520947216918,0.3393282724506439,0.6419704157780872,0.022031981207789708,1.0
0.6732815079317704,0.3360537414263842,0.8609933671814612,0.4124498772298374,0.3623978702650742,1.0
0.19908894472839556,0.3073185926207026,0.14818945208992718,0.9512809340567632,0.26026927158338287,1.0
0.5906411638372908,0.71547819313316,0.9087887838817273,0.5596091843708049,0.3729663589622463,1.0
0.01086170992146418,0.7039826650704977,0.6629543678346611,0.002643537154724207,0.7550986670113959,1.0
0.8240282919270983,0.7811386908858831,0.08312752455856875,0.9017209567803796,0.4466137434242441,1.0
0.963559104773601,0.0789496696132429,0.2839191654120157,0.7555015305353012,0.9772752518702874,-1.0
0.7712657405187461,0.16525074089379455,0.6187055709358761,0.1236693251317661,0.022672550888081955,1.0
0.2892972438027016,0.719056655119627,0.514205902477311,0.3824135201910802,0.5571167213791605,1.0
0.5445991009869253,0.5495851553848722,0.08793785422998579,0.3769380960766252,0.7563072945261418,1.0
0.8445471385498735,0.8146779271250045,0.48334879077260084,0.03139920713826305,0.5689250692403747,1.0
0.5181385253632174,0.6276518908555,0.4173284093916575,0.8596071108016445,0.9760297997806411,1.0
0.32370665688760125,0.2183631382130291,0.9614220171011089,0.936957695476476,0.4989612980976994,1.0
0.48115750410217806,0.862615368129497,0.6126114109838164,0.6142969085254547,0.9707000019265222,1.0
0.3465842402333609,0.21928860710507458,0.7440825484118376,0.3079538228784511,0.44173063671898993,1.0
0.024717012248464787,0.956659589748873,0.36234831727017813,0.17832471806929084,0.15924190774761937,-1.0
0.1136262395413975,0.2834773345251437,0.9325257472925057,0.2536942522434805,0.9858124513748573,-1.0
0.0933106388542102,0.8479364791351485,0.2849381785399643,0.4321957553872442,0.836492630309631,1.0
0.8815618647776593,0.09933876171639888,0.9786902219466885,0.5642528224512515,0.8558257403694143,1.0
0.3966177738295418,0.1129419468869628,0.1250534364776179,0.6529967544604235,0.18345335181209144,1.0
0.9448373861217632,0.380953822314687,0.3496101204172981,0.6388552855342652,0.6791865166259174,1.0
0.9486382902857987,0.02445819645823044,0.9590359744010646,0.6300426667950099,0.02254437900073103,-1.0
0.4969540926196876,0.18454906329872867,0.945005031213558,0.28505957268458404,0.03770675970678439,1.0
0.6837560659999851,0.2506087918055425,0.025614291734464834,0.0943805984035675,0.9074976618560404,1.0
0.5197697985071635,0.5299064885850754,0.4050600902941751,0.7024698877376816,0.04760963035475663,1.0
0.16903130199311545,0.15429679369479055,0.45537440283340014,0.25905936332947976,0.8091379483061454,1.0
0.9854039973777932,0.5621622419734078,0.678190121983473,0.2361563024751666,0.751345234227356,1.0
